iter	Passed	Remaining
829	16562	23347
830	16577	23320
831	16592	23292
832	16607	23266
833	16622	23239
834	16637	23212
835	16652	23186
836	16668	23161
837	16684	23134
838	16700	23110
839	16714	23081
840	16728	23053
841	16742	23026
842	16757	22999
843	16772	22973
844	16787	22946
845	16804	22921
846	16819	22895
847	16834	22869
848	16850	22844
849	16865	22817
850	16879	22790
851	16893	22762
852	16907	22734
853	16922	22708
854	16945	22692
855	16958	22664
856	16973	22638
857	16988	22611
858	17002	22584
859	17017	22558
860	17032	22531
861	17047	22505
862	17061	22478
863	17077	22453
864	17093	22428
865	17109	22404
866	17124	22378
867	17138	22351
868	17153	22324
869	17168	22298
870	17182	22272
871	17197	22245
872	17211	22219
873	17226	22193
874	17241	22168
875	17257	22143
876	17272	22117
877	17286	22090
878	17303	22067
879	17316	22039
880	17341	22026
881	17358	22003
882	17375	21979
883	17390	21954
884	17406	21929
885	17420	21903
886	17437	21880
887	17454	21857
888	17470	21833
889	17486	21809
890	17501	21783
891	17514	21755
892	17528	21729
893	17545	21706
894	17560	21680
895	17575	21655
896	17589	21629
897	17604	21603
898	17619	21578
899	17634	21553
900	17649	21528
901	17665	21504
902	17680	21479
903	17694	21452
904	17709	21427
905	17723	21401
906	17741	21379
907	17757	21356
908	17772	21330
909	17787	21306
910	17803	21281
911	17817	21255
912	17833	21231
913	17848	21206
914	17864	21183
915	17880	21159
916	17896	21136
917	17911	21111
918	17926	21086
919	17941	21061
920	18003	21091
921	18040	21093
922	18070	21085
923	18108	21087
924	18145	21088
925	18177	21082
926	18193	21058
927	18208	21034
928	18225	21011
929	18241	20987
930	18255	20960
931	18268	20934
932	18284	20910
933	18299	20885
934	18313	20859
935	18328	20835
936	18343	20810
937	18358	20785
938	18373	20760
939	18387	20735
940	18401	20708
941	18415	20682
942	18432	20660
943	18446	20635
944	18461	20610
945	18477	20586
946	18491	20561
947	18506	20536
948	18521	20512
949	18538	20489
950	18555	20468
951	18570	20443
952	18585	20418
953	18600	20394
954	18615	20370
955	18629	20344
956	18644	20319
957	18659	20295
958	18673	20270
959	18689	20246
960	18704	20222
961	18719	20198
962	18734	20174
963	18750	20151
964	18765	20127
965	18781	20103
966	18799	20082
967	18818	20062
968	18836	20041
969	18854	20020
970	18870	19997
971	18886	19974
972	18902	19951
973	18917	19927
974	18940	19911
975	18954	19887
976	18969	19862
977	18983	19837
978	18998	19813
979	19014	19790
980	19029	19766
981	19044	19742
982	19060	19719
983	19074	19694
984	19091	19672
985	19108	19650
986	19123	19627
987	19138	19603
988	19152	19578
989	19166	19553
990	19180	19529
991	19195	19505
992	19210	19481
993	19227	19459
994	19242	19435
995	19257	19412
996	19271	19387
997	19287	19364
998	19302	19340
999	19316	19316
1000	19331	19292
1001	19357	19280
1002	19373	19257
1003	19389	19234
1004	19403	19210
1005	19418	19187
1006	19437	19167
1007	19453	19144
1008	19467	19120
1009	19482	19096
1010	19497	19073
1011	19512	19050
1012	19526	19025
1013	19542	19003
1014	19559	18981
1015	19573	18956
1016	19588	18933
1017	19603	18910
1018	19618	18886
1019	19633	18863
1020	19649	18840
1021	19663	18817
1022	19678	18793
1023	19693	18770
1024	19708	18747
1025	19722	18723
1026	19737	18699
1027	19752	18676
1028	19772	18657
1029	19786	18633
1030	19801	18610
1031	19815	18586
1032	19831	18564
1033	19845	18540
1034	19860	18517
1035	19875	18493
1036	19889	18470
1037	19904	18447
1038	19918	18422
1039	19932	18399
1040	19949	18378
1041	19963	18354
1042	19978	18331
1043	19992	18307
1044	20008	18285
1045	20022	18261
1046	20037	18238
1047	20052	18215
1048	20066	18191
1049	20079	18166
1050	20093	18143
1051	20108	18120
1052	20123	18097
1053	20138	18075
1054	20153	18052
1055	20170	18031
1056	20187	18010
1057	20202	17987
1058	20217	17964
1059	20231	17941
1060	20248	17920
1061	20264	17898
1062	20278	17874
1063	20292	17850
1064	20306	17827
1065	20321	17805
1066	20336	17782
1067	20351	17759
1068	20365	17736
1069	20380	17713
1070	20394	17690
1071	20407	17666
1072	20422	17643
1073	20436	17620
1074	20453	17599
1075	20467	17576
1076	20482	17553
1077	20497	17531
1078	20512	17508
1079	20527	17486
1080	20540	17462
1081	20559	17442
1082	20577	17423
1083	20595	17403
1084	20609	17380
1085	20623	17357
1086	20637	17333
1087	20651	17310
1088	20666	17288
1089	20680	17265
1090	20696	17243
1091	20711	17221
1092	20726	17199
1093	20741	17176
1094	20755	17154
1095	20769	17131
1096	20783	17107
1097	20798	17085
1098	20812	17062
1099	20826	17040
1100	20841	17017
1101	20856	16995
1102	20871	16973
1103	20887	16952
1104	20901	16929
1105	20915	16906
1106	20930	16883
1107	20943	16860
1108	20959	16839
1109	20973	16816
1110	20992	16797
1111	21007	16775
1112	21022	16753
1113	21036	16731
1114	21053	16710
1115	21070	16690
1116	21085	16668
1117	21100	16646
1118	21114	16623
1119	21129	16601
1120	21143	16579
1121	21157	16556
1122	21172	16534
1123	21187	16512
1124	21201	16490
1125	21216	16468
1126	21231	16446
1127	21246	16424
1128	21261	16402
1129	21274	16379
1130	21291	16359
1131	21309	16339
1132	21324	16318
1133	21343	16298
1134	21359	16278
1135	21375	16257
1136	21398	16241
1137	21415	16221
1138	21433	16201
1139	21452	16183
1140	21472	16165
1141	21488	16144
1142	21503	16123
1143	21522	16104
1144	21538	16082
1145	21553	16061
1146	21569	16041
1147	21586	16020
1148	21602	16000
1149	21620	15980
1150	21636	15959
1151	21659	15943
1152	21693	15936
1153	21719	15922
1154	21743	15907
1155	21764	15890
1156	21795	15880
1157	21814	15861
1158	21836	15844
1159	21859	15829
1160	21879	15811
1161	21903	15796
1162	21919	15774
1163	21937	15755
1164	21957	15737
1165	21975	15717
1166	21993	15698
1167	22011	15679
1168	22028	15659
1169	22053	15644
1170	22074	15627
1171	22094	15609
1172	22123	15597
1173	22143	15579
1174	22164	15562
1175	22219	15568
1176	22242	15552
1177	22267	15538
1178	22288	15520
1179	22307	15501
1180	22324	15481
1181	22347	15465
1182	22363	15444
1183	22385	15427
1184	22406	15410
1185	22423	15389
1186	22440	15369
1187	22460	15351
1188	22479	15333
1189	22495	15312
1190	22511	15290
1191	22525	15269
1192	22539	15246
1193	22556	15226
