iter	F1	Logloss
437	0.6730146991	0.2975096197
438	0.6731373637	0.2974661496
439	0.6731995932	0.2974178728
440	0.6733222407	0.2973849455
441	0.6734448655	0.2973472494
442	0.6735071178	0.2973133311
443	0.6735693815	0.2972504478
444	0.6739391698	0.2972030459
445	0.6736939436	0.2971599544
446	0.674246626	0.2971121694
447	0.6740014793	0.2970763013
448	0.6744315031	0.2970108098
449	0.6744916821	0.296957393
450	0.6747990019	0.2969177939
451	0.6746743047	0.2968731674
452	0.6746743047	0.2968234794
453	0.6750415666	0.2967409252
454	0.6751662971	0.2966647585
455	0.6748590964	0.2966266736
456	0.6751015885	0.2965923761
457	0.675226307	0.2964998209
458	0.675408625	0.2964554896
459	0.6755333888	0.2964278107
460	0.6757130989	0.2963979628
461	0.675900277	0.2963533289
462	0.675957545	0.2963100267
463	0.6757754801	0.2962640916
464	0.6760199372	0.2962258598
465	0.676017348	0.2961832966
466	0.675957545	0.2961218393
467	0.676142132	0.2960200586
468	0.676142132	0.2959738534
469	0.675957545	0.2959353075
470	0.675957545	0.2959005719
471	0.6756507292	0.2957546861
472	0.6757130989	0.2957185628
473	0.675772958	0.2956932862
474	0.6758327951	0.295644419
475	0.676199262	0.2955880597
476	0.676199262	0.2955469105
477	0.6761966246	0.2955044381
478	0.6762589928	0.2954741829
479	0.6765655261	0.2954376842
480	0.6765627881	0.2953831212
481	0.6766224189	0.2953019038
482	0.6766847976	0.295238334
483	0.6769259123	0.2951951491
484	0.67686354	0.2951448621
485	0.67686354	0.2951050047
486	0.67686354	0.2950552511
487	0.6767416144	0.2949689371
488	0.6767416144	0.2949343665
489	0.6769202431	0.2949097841
490	0.6770420849	0.2948894609
491	0.6772262639	0.2947260393
492	0.6772262639	0.2946970164
493	0.6774074756	0.2946677496
494	0.6769202431	0.2946285387
495	0.6770449521	0.2946037002
496	0.6771044391	0.2945681035
497	0.6773480663	0.2945316151
498	0.6772857011	0.2944908153
499	0.6772233474	0.2944525587
500	0.6775292277	0.2944163031
501	0.6775885872	0.2943792483
502	0.6773421682	0.2943357371
503	0.6773421682	0.2943151206
504	0.6770986745	0.2942732099
505	0.6772827688	0.2942499592
506	0.6774045099	0.2941991687
507	0.6775885872	0.2941718809
508	0.677710289	0.2941469906
509	0.6778319683	0.2941061414
510	0.6778912503	0.2940020703
511	0.6780752599	0.2939624541
512	0.6780128795	0.2939102946
513	0.6784367816	0.2938880103
514	0.6789817112	0.2938640096
515	0.6792279412	0.2937977924
516	0.6792279412	0.2936441043
517	0.6790441176	0.2936036839
518	0.6790441176	0.293568965
519	0.6788602941	0.2935329968
520	0.6789193163	0.293497809
521	0.679103106	0.293473003
522	0.6791620728	0.2934442657
523	0.6790962528	0.2934088798
524	0.6795224977	0.2933633924
525	0.6794601047	0.2933401498
526	0.6795813441	0.2932874466
527	0.6796437425	0.2932161526
528	0.6795813441	0.293142286
529	0.6797613584	0.2931117757
530	0.6797613584	0.293085091
531	0.6797577537	0.2930376366
532	0.679820134	0.2929908532
533	0.6798825257	0.292961868
534	0.6799412736	0.2929243757
535	0.68	0.2928897888
536	0.6799376204	0.2928640372
537	0.6801173881	0.2928364673
538	0.6801173881	0.2927889231
539	0.6804218249	0.2927626114
540	0.6804218249	0.29272431
541	0.6805428205	0.2926572042
542	0.6809056742	0.2926187068
543	0.6808432631	0.2925682723
544	0.6809017595	0.292538282
545	0.6809641646	0.292508958
546	0.6808432631	0.2924722556
547	0.681085044	0.2924163724
548	0.6814516129	0.2923729746
549	0.6816307833	0.2923477215
550	0.6818723092	0.2923042882
551	0.6825876109	0.2922848184
552	0.6822258832	0.2922347949
553	0.6823464812	0.2922034008
554	0.6824046116	0.2921797849
555	0.6823421775	0.2920805708
556	0.6823421775	0.2920438751
557	0.6823421775	0.2920183553
558	0.6826456866	0.2919857416
559	0.6824002927	0.291947571
560	0.6824627207	0.2919197655
561	0.6825832419	0.291893799
562	0.6824002927	0.2918783056
563	0.6826413024	0.291844691
564	0.6825208086	0.2918228613
565	0.6827617741	0.2917891736
566	0.6832434409	0.2917570597
567	0.6832343536	0.2917229669
568	0.6830516217	0.2916849185
569	0.683171935	0.2916595254
570	0.6832343536	0.291587541
571	0.6832343536	0.2915472649
572	0.6832343536	0.2915161138
573	0.6832967836	0.2914943499
574	0.6834170854	0.2914766582
575	0.6834170854	0.2914477543
576	0.6834170854	0.2914224718
577	0.6834795322	0.2914013334
578	0.6834170854	0.291373205
579	0.6832967836	0.2913440894
580	0.6832343536	0.2913182819
581	0.6832343536	0.2912950063
582	0.683171935	0.2912727632
583	0.6834124954	0.2912244446
584	0.6834124954	0.2912018508
585	0.6834749246	0.291171325
586	0.6835373652	0.291086643
587	0.6835373652	0.2910112101
588	0.683777859	0.2909833207
589	0.6837731714	0.2909509116
590	0.6838356164	0.290797332
591	0.6839558031	0.2907614593
592	0.6840135123	0.2907366847
593	0.6841336498	0.2906878472
594	0.6840759679	0.2906385752
595	0.6840759679	0.2906038734
596	0.6840759679	0.2905599703
597	0.6841961107	0.2905368193
598	0.6841961107	0.2904977676
599	0.6843162315	0.2904587343
600	0.6843738591	0.2904409235
601	0.6845515102	0.2904159147
602	0.6844890511	0.2903636036
603	0.6844266034	0.2903347367
604	0.6844890511	0.2902964332
605	0.6843641671	0.2902714464
606	0.6843017422	0.2902459259
607	0.6843017422	0.2902198166
608	0.6845992523	0.2902004257
609	0.6844792997	0.2901698033
610	0.6847191831	0.2901207501
611	0.684484174	0.2901003129
612	0.6847191831	0.2900757087
613	0.6847766636	0.2900479547
614	0.685261143	0.2900233622
615	0.6851362435	0.2899782008
616	0.685552924	0.2899305149
617	0.6854331785	0.2898996299
618	0.6854904818	0.2898718966
619	0.6854331785	0.289850406
620	0.6856153776	0.2898266244
621	0.6857351066	0.2898049277
622	0.6859172891	0.2897867935
623	0.6857975768	0.2897543632
624	0.6859797759	0.2897331115
625	0.686161975	0.2896794899
626	0.6861566485	0.2896553972
627	0.6863959206	0.2896375342
628	0.6864584282	0.2896045694
629	0.6863905325	0.2895740925
630	0.6864530226	0.2895494768
631	0.6863905325	0.2895294895
632	0.6863905325	0.2894627029
633	0.6863959206	0.2893148217
634	0.686515524	0.2892900292
635	0.686515524	0.2892222177
636	0.6863334244	0.2891928539
637	0.6868742035	0.2890989394
638	0.6871132144	0.2890751765
639	0.6873521383	0.2889866236
640	0.6874715676	0.2889655924
641	0.6873521383	0.288909223
642	0.6872896006	0.2888901888
643	0.6871645593	0.2888639665
644	0.6871645593	0.2888402345
645	0.6873464932	0.2888154157
646	0.6873464932	0.2887541715
647	0.6872727273	0.2887367957
648	0.6871589669	0.2887114271
649	0.6871533776	0.2886853526
650	0.6872102536	0.2886689121
651	0.6873295764	0.2886471907
652	0.6875056792	0.2886197664
653	0.6876249319	0.2885660941
654	0.6874432128	0.2885410505
655	0.687681686	0.2885124663
656	0.6878008902	0.2884925389
657	0.687681686	0.2884728892
658	0.6880392335	0.2884491581
659	0.6882774902	0.2884275485
660	0.6881583727	0.2883808819
661	0.6880392335	0.2883414978
662	0.6881525193	0.2882981584
663	0.6884590938	0.2882779647
664	0.6884590938	0.2882538687
665	0.6882716049	0.2882253338
666	0.688453159	0.2881770893
667	0.688453159	0.2881519779
668	0.6885722066	0.288128834
669	0.6888102369	0.2881126357
670	0.6888102369	0.2880955026
671	0.6888102369	0.2880785865
